gatename,gate_in_1,gate_in_2,gate_in_3,gate_in_4,gate_in_5,fan_in_1,fan_in_2,fan_in_3,fan_in_4,fan_in_5,in_flipflop_1,in_flipflop_2,in_flipflop_3,in_flipflop_4,in_flipflop_5,out_flipflop_1,out_flipflop_2,out_flipflop_3,out_flipflop_4,out_flipflop_5,in_near_flipflop,out_near_flipflop,in_multiplexer_1,in_multiplexer_2,in_multiplexer_3,in_multiplexer_4,in_multiplexer_5,out_multiplexer_1,out_multiplexer_2,out_multiplexer_3,out_multiplexer_4,out_multiplexer_5,in_near_multiplexer,out_near_multiplexer,in_const_1,in_const_2,in_const_3,in_const_4,in_const_5,out_const_1,out_const_2,out_const_3,out_const_4,out_const_5,inv_1,inv_2,inv_3,inv_4,inv_5,loop_1,loop_2,loop_3,loop_4,loop_5,DPI,DPO,label
U304,5,9,24,56,76,2,5,12,32,56,1,0,1,8,9,0,0,0,0,0,1,10,0,1,0,1,6,0,0,0,0,0,2,10,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1
U303,5,9,23,59,81,2,5,12,32,59,1,0,1,7,10,0,0,0,0,0,1,10,0,1,0,1,5,0,0,0,0,0,2,10,0,1,0,2,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,1
U302,6,18,50,67,112,2,7,25,48,71,0,0,8,8,5,0,0,0,0,0,3,10,0,0,0,6,8,0,0,0,0,0,4,10,1,0,2,0,0,1,0,2,0,0,0,0,0,1,3,1,0,0,0,0,3,1,1
U301,6,23,23,42,75,2,8,17,28,51,0,5,2,2,8,0,0,0,0,0,2,10,0,0,3,2,2,0,0,0,0,0,3,10,0,2,0,0,0,0,2,0,0,0,0,0,1,2,6,1,0,0,0,0,2,2,1
U300,12,11,19,35,52,2,6,13,26,38,2,2,1,5,0,0,0,0,0,0,1,10,0,0,2,1,5,0,0,0,0,0,3,10,2,0,0,0,0,2,0,0,0,0,0,0,1,4,6,1,0,0,0,0,1,3,1
U297,11,12,23,43,59,4,9,13,24,36,3,0,1,4,3,0,0,0,0,0,1,10,0,3,0,1,4,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,0,1,3,1
U296,12,27,47,73,97,3,15,31,46,64,0,3,7,3,1,0,0,0,0,0,2,10,0,0,3,7,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,2,1
U295,11,14,26,40,55,4,9,16,25,34,3,1,3,0,2,0,0,0,0,0,1,10,0,3,1,3,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,3,1
U294,8,15,25,36,50,4,10,18,28,35,0,2,3,1,3,0,0,0,0,0,2,10,0,0,2,3,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,2,3,1
U293,8,21,36,44,72,4,12,21,34,46,0,4,2,1,4,0,0,0,0,0,2,10,0,0,4,2,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,1,0,0,0,0,2,3,1
U230,5,8,13,17,29,2,5,9,13,20,1,1,2,0,1,0,0,0,1,0,1,4,0,1,1,2,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,1,1,10,0
U229,5,9,10,15,28,2,5,8,12,18,1,2,0,1,0,0,0,0,0,1,1,5,0,1,2,0,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,1,10,0
U228,5,9,10,15,28,2,5,8,12,18,1,2,0,1,0,0,0,0,1,0,1,4,0,1,2,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,10,0
U227,6,6,8,14,23,2,4,7,10,15,2,0,1,0,1,0,0,0,1,0,1,4,0,2,0,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,1,10,0
U226,5,8,14,18,30,2,5,9,14,19,1,1,2,0,0,0,0,1,0,1,1,3,0,1,1,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U225,5,9,11,14,23,2,5,8,12,15,1,2,0,0,0,0,0,0,1,0,1,4,0,1,2,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0
U224,5,9,11,14,23,2,5,8,12,15,1,2,0,0,0,0,0,1,0,1,1,3,0,1,2,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U223,6,6,7,10,17,2,4,6,8,10,2,0,0,0,0,0,0,1,0,1,1,3,0,2,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U222,5,8,13,17,28,2,5,9,13,20,1,1,2,0,1,0,0,0,1,0,1,4,0,1,1,2,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,1,1,4,0
