gatename,gate_in_1,gate_in_2,gate_in_3,gate_in_4,gate_in_5,fan_in_1,fan_in_2,fan_in_3,fan_in_4,fan_in_5,in_flipflop_1,in_flipflop_2,in_flipflop_3,in_flipflop_4,in_flipflop_5,out_flipflop_1,out_flipflop_2,out_flipflop_3,out_flipflop_4,out_flipflop_5,in_near_flipflop,out_near_flipflop,in_multiplexer_1,in_multiplexer_2,in_multiplexer_3,in_multiplexer_4,in_multiplexer_5,out_multiplexer_1,out_multiplexer_2,out_multiplexer_3,out_multiplexer_4,out_multiplexer_5,in_near_multiplexer,out_near_multiplexer,in_const_1,in_const_2,in_const_3,in_const_4,in_const_5,out_const_1,out_const_2,out_const_3,out_const_4,out_const_5,inv_1,inv_2,inv_3,inv_4,inv_5,loop_1,loop_2,loop_3,loop_4,loop_5,DPI,DPO,label
U3772,4,13,37,63,108,2,6,16,27,48,0,1,7,5,9,0,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,2,2,0
U3776,4,13,37,63,114,2,6,16,27,49,0,1,7,5,10,0,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,2,4,0
U3777,5,7,11,12,12,2,5,7,8,9,1,1,1,1,0,1,1,14,18,66,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,1,2,2,10,70,1,0,0,0,1,1,3,0
U3778,4,13,37,63,115,2,6,16,27,49,0,1,7,5,10,0,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,2,4,0
U3779,6,14,36,59,103,2,7,17,27,40,0,1,7,5,9,0,6,1,7,2,2,2,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,4,0
U3780,5,15,44,94,193,2,7,20,42,74,0,0,5,7,15,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,1,0,0,0,0,3,10,0
U3781,5,15,41,90,188,2,7,20,42,73,0,0,4,8,15,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,1,0,0,0,0,3,10,0
U3782,5,14,43,86,150,2,7,19,41,65,0,0,5,7,8,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,1,0,0,0,0,3,10,0
U3783,6,8,12,18,22,2,5,10,15,21,1,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,5,0
U3784,6,8,12,18,22,2,5,10,15,21,1,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,5,0
U3785,6,8,12,18,22,2,5,10,15,21,1,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,5,0
U3786,6,8,12,18,22,2,5,10,15,21,1,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,5,0
U3787,6,8,13,20,26,2,5,10,17,23,1,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,10,0
DFF_0_Q_reg,1,1,0,0,0,1,2,2,2,2,0,0,0,0,0,1,1,9,3,17,10,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,1,0,0,0,0,0,5,0
DFF_1_Q_reg,6,5,7,11,14,2,4,7,9,9,1,1,1,1,0,1,1,1,14,17,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,2,2,10,1,0,0,1,2,0,4,0
DFF_2_Q_reg,6,11,12,12,14,2,5,7,9,9,1,1,1,1,0,1,1,14,18,66,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,2,10,70,1,0,0,1,2,0,3,0
DFF_3_Q_reg,6,11,14,16,18,2,5,8,9,9,1,1,1,1,0,1,14,18,67,217,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,10,70,147,1,0,0,1,2,0,2,0
DFF_4_Q_reg,6,10,23,34,41,2,6,12,16,20,1,1,2,1,1,1,5,6,57,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,14,15,15,1,0,1,1,0,0,3,0
DFF_5_Q_reg,6,10,24,36,60,2,6,14,21,28,1,1,3,2,4,1,1,6,5,58,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,14,16,1,0,1,0,1,0,4,0
DFF_6_Q_reg,7,12,28,53,82,2,7,16,28,43,1,1,3,2,4,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,1,1,0,10,0
DFF_7_Q_reg,6,11,24,42,80,2,6,13,24,35,1,1,3,2,3,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,1,0,10,0
DFF_8_Q_reg,7,12,25,39,69,2,7,14,23,32,1,1,3,2,2,1,1,2,1,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,1,0,2,0,1,0,10,0
DFF_9_Q_reg,6,11,24,39,64,2,6,13,22,29,1,1,3,2,2,1,1,2,1,13,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,1,0,1,0,2,0,10,0
DFF_10_Q_reg,6,10,25,38,64,2,6,13,21,28,1,1,3,1,3,1,1,2,10,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,33,1,0,1,1,1,0,5,0
DFF_11_Q_reg,6,12,29,51,86,2,6,16,27,38,1,1,3,4,4,1,1,6,5,56,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,15,16,1,0,1,2,1,0,4,0
DFF_12_Q_reg,6,9,18,31,54,2,6,12,20,30,1,1,2,2,3,1,1,6,5,56,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,14,16,1,0,1,0,2,0,3,0
DFF_13_Q_reg,7,13,24,36,58,2,7,16,23,29,1,1,3,2,1,1,5,5,57,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,16,17,1,0,2,1,1,0,2,0
DFF_14_Q_reg,6,10,17,26,39,2,6,12,19,25,1,1,2,2,1,1,0,5,6,57,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,2,15,16,1,0,1,0,2,0,1,0
DFF_15_Q_reg,6,11,16,30,55,2,6,12,21,36,1,2,2,2,7,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,1,0,0,0,0,0,0,0
DFF_16_Q_reg,2,5,6,10,24,1,3,5,8,15,0,1,1,1,5,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,2,7,15,1,0,0,0,0,0,1,0
DFF_17_Q_reg,5,3,5,6,10,2,4,6,8,11,1,0,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,1,2,8,16,32,1,0,0,0,0,0,0,0
DFF_18_Q_reg,4,5,3,5,6,1,3,5,7,9,1,1,0,1,1,1,1,1,5,8,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,6,15,32,35,1,0,0,0,0,0,4,0
DFF_19_Q_reg,7,9,10,9,9,2,4,7,10,13,1,1,1,0,1,1,1,5,8,34,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,5,14,32,35,40,1,0,0,0,0,0,3,0
DFF_20_Q_reg,4,7,9,10,9,1,3,5,8,11,1,1,1,1,0,1,2,3,6,16,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1,0,0,0,0,0,2,0
DFF_21_Q_reg,4,4,7,9,10,1,2,4,6,9,1,1,1,1,1,1,3,6,16,31,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,0,0,0,0,0,2,0
DFF_22_Q_reg,4,4,4,7,9,1,2,3,5,7,1,1,1,1,1,1,3,6,16,35,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,2,0
DFF_23_Q_reg,4,4,4,4,7,1,2,3,4,6,1,1,1,1,1,1,3,6,13,28,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0
DFF_24_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,3,6,13,25,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0
DFF_25_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,3,6,13,29,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,2,0
DFF_26_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,3,6,13,28,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,2,0
DFF_27_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,3,6,12,26,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0
